Player.ID,Position,Date,15_sec_No_Jumps,15_sec_Contact,15_sec_Flight,15_sec_Hgt,CMJ.1,CMJ.2,R_Drift_Contact,R_Drift_Flight,R_Drift_Hgt,L_Drift_Contact,L_Drift_Flight,L_Drift_Hgt
203557,C,7/24/19,25,0.218,0.408,8,10.1,10.8,0.335,0.231,2.6,0.344,0.306,4.5
125643,T,7/24/19,,,,,,,,,,,,
191713,WR,7/24/19,21,0.239,0.488,11.5,17.5,16.7,0.343,0.382,7,0.356,0.378,6.9
247323,ILB,7/24/19,18,0.362,0.532,13.7,18.9,19.2,0.434,0.387,7.3,0.388,0.426,8.8
251968,RB,7/24/19,26,0.222,0.373,6.7,9.9,9.4,0.31,0.259,3.2,0.316,0.28,3.8
219819,OLB,7/24/19,23,0.208,0.476,10.9,19.3,19,0.315,0.372,6.7,0.322,0.399,7.7
243267,WR,7/24/19,,,,,,,,,,,,
147297,TE,7/24/19,,,,,,,,,,,,
267576,P,7/24/19,25,0.164,0.462,10.3,16.6,15,0.281,0.389,7.3,0.272,0.365,6.4
255319,ILB,7/24/19,25,0.204,0.416,8.4,20.6,20.9,0.336,0.347,5.8,0.333,0.352,6
228905,SS,7/24/19,19,0.37,0.471,10.7,16.2,17.6,0.403,0.275,3.7,0.466,0.374,6.8
238352,T,7/24/19,,,,,,,,,,,,
255214,CB,7/24/19,20,0.266,0.52,13.1,15.9,16.5,0.373,0.348,5.9,0.326,0.379,6.9
197087,G,7/24/19,,,,,,,,,,,,
255583,DT,7/24/19,25,0.264,0.37,6.6,11.8,12.4,0.406,0.22,2.3,0.394,0.238,2.7
267386,DE,7/24/19,28,0.214,0.336,5.5,17.5,17.7,0.458,0.348,5.8,0.369,0.33,5.3
255660,OLB,7/24/19,24,0.172,0.467,10.6,19.5,19.2,0.339,0.378,6.9,0.411,0.401,7.8
251462,CB,7/24/19,22,0.213,0.509,12.5,17.4,16.2,0.305,0.368,6.6,0.317,0.375,6.8
245315,TE,7/24/19,17,0.341,0.564,15.4,19.4,19,0.481,0.436,9.2,0.531,0.403,7.9
226095,C,7/24/19,,,,,,,,,,,,
238371,T,7/24/19,,,,,,,,,,,,
140125,G,7/24/19,,,,,,,,,,,,
226658,DE,7/24/19,23,0.244,0.429,8.9,17,16.3,0.299,0.201,2,0.331,0.217,2.3
238495,DE,7/24/19,,,,,,,,,,,,
255202,T,7/24/19,22,0.3,0.42,8.5,13.7,12.8,0.444,0.298,4.3,0.411,0.271,3.5
253694,DT,7/24/19,24,0.224,0.424,8.7,12.5,12.8,0.415,0.301,4.4,0.349,0.3,4.3
174286,OLB,7/24/19,21,0.218,0.522,13.2,18.9,18.9,0.358,0.347,5.8,0.395,0.368,6.5
215709,CB,7/24/19,20,0.239,0.528,13.5,18.2,18.9,0.377,0.413,8.2,0.333,0.421,8.6
220975,WR,7/24/19,21,0.254,0.472,10.8,16.7,16.2,0.491,0.358,6.2,0.496,0.352,6
250427,FS,7/24/19,20,0.269,0.508,12.4,16.2,16.2,0.432,0.368,6.6,0.525,0.415,8.3
238395,QB,7/24/19,15,0.511,0.525,13.3,15.6,15.4,0.498,0.378,6.9,0.534,0.408,8.1
200574,DE,7/24/19,22,0.239,0.454,10,15.6,16.6,0.394,0.38,7,0.375,0.387,7.2
256270,DE,7/24/19,27,0.19,0.382,7,12.8,15.1,0.469,0.292,4.2,0.455,0.34,5.6
210031,G,7/24/19,24,0.244,0.395,7.5,11,11.6,0.339,0.242,2.8,0.313,0.262,3.3
192508,SS,7/24/19,17,0.433,0.493,11.7,17.3,16.5,0.525,0.362,6.4,0.618,0.413,8.2
233282,RB,7/24/19,22,0.204,0.498,12,19.5,19.5,0.343,0.438,9.3,0.335,0.42,8.5
202245,DT,7/24/19,24,0.233,0.418,8.4,15.9,15,0.355,0.281,3.8,0.359,0.262,3.3
197077,OLB,7/24/19,24,0.21,0.432,9,19.6,17.3,0.437,0.404,7.9,0.448,0.396,7.6
244748,WR,7/24/19,19,0.257,0.577,16.1,21.5,21.9,0.417,0.49,11.6,0.396,0.45,9.8
195069,K,7/24/19,21,0.212,0.526,13.4,19.3,20.3,0.411,0.433,9,0.345,0.443,9.5
255609,T,7/24/19,22,0.291,0.419,8.5,14.5,13.6,0.492,0.322,5,0.476,0.302,4.4
199319,SN,7/24/19,22,0.223,0.483,11.3,16.1,16.5,0.379,0.4,7.7,0.373,0.396,7.6
256243,RB,7/24/19,25,0.188,0.423,8.7,18.8,19,0.315,0.319,4.9,0.309,0.357,6.2
238490,G,7/24/19,23,0.24,0.437,9.2,16.1,15.8,0.388,0.356,6.1,0.434,0.364,6.4
238537,RB,7/24/19,21,0.279,0.45,9.8,13.7,14.5,0.374,0.348,5.8,0.407,0.329,5.2
233012,DT,7/24/19,22,0.309,0.393,7.6,12.4,13.2,0.484,0.259,3.3,0.468,0.271,3.6
233511,CB,7/24/19,21,0.185,0.575,16,21,20.9,0.29,0.448,9.7,0.324,0.429,8.9
231037,WR,7/24/19,18,0.313,0.559,15.1,18.4,18.1,0.439,0.438,9.3,0.376,0.409,8.1
242650,C,7/24/19,21,0.369,0.391,7.4,10.8,10.8,0.476,0.274,3.6,0.511,0.283,3.9
256385,RB,7/24/19,16,0.419,0.593,17,19.3,20.9,0.465,0.425,8.7,0.494,0.434,9.1
256351,WR,7/24/19,18,0.333,0.555,14.9,22.6,22.3,0.489,0.432,9,0.487,0.397,7.6
